timestamp_acc,device_acc_x,device_81022250earth_acc_y,earth_acc_z
, -2.6333013, 5.349155, 7.865208, 0.047829866, 0.02795744, 9.869456
356082091890480, -2.8319056, 5.2008, 7.810173, -0.2388426, 0.053171158, 9.798311
356082101529230, -2.475375, 5.7056856, 7.928618, 0.32850075, 0.07645321, 10.071322
356082111167980, -2.7876384, 4.779663, 7.648658, -0.43168437, -0.11967659, 9.429604
356082120806730, -2.510071, 6.003592, 8.063812, 0.4566437, 0.19738722, 10.349937
356082130445375, -2.7326035, 4.60738, 7.6534433, -0.48853505, -0.26044083, 9.325438
356082140084125, -2.6309085, 6.003592, 8.098508, 0.36786926, 0.24230194, 10.409449
356082149722875, -2.6368906, 4.7952166, 7.7036924, -0.3116238, -0.23632431, 9.441463
356082159361625, -2.7684958, 5.703293, 7.9680996, 0.09810424, 0.2204771, 10.179612
356082169000375, -2.5543382, 5.1996036, 7.838887, -0.020207047, -0.11815786, 9.746504
356082178639021, -2.812763, 5.285745, 7.8197446, -0.16793048, 0.088216305, 9.846987
356082188277771, -2.4717858, 5.7152567, 7.946564, 0.33884168, 0.07170105, 10.089687
356082197916521, -2.8115666, 4.8155556, 7.6343007, -0.42959714, -0.074920654, 9.443881
356082207555271, -2.4861426, 5.9880385, 8.048259, 0.47692943, 0.16641998, 10.322638
356082217194021, -2.7038896, 4.6325045, 7.615158, -0.45056677, -0.22850037, 9.300888
356082226832667, -2.5663023, 6.026324, 8.009974, 0.45000017, 0.26018953, 10.334019
356082236471417, -2.5902305, 4.7605205, 7.63789, -0.28963995, -0.23159218, 9.357973
356082246110167, -2.6991038, 5.7726846, 7.9740815, 0.19634604, 0.21268463, 10.203492
356082255748917, -2.5172493, 5.18405, 7.8520474, -0.008972764, -0.15637875, 9.738637
356082265387667, -2.824727, 5.2941203, 7.853244, -0.18020868, 0.08299303, 9.881339
356082275026313, -2.4849463, 5.645865, 7.954939, 0.2837181, 0.025175095, 10.062338
