6.0622163, 0.21296121, 7.995617, 0.011306763, 0.015494347, 10.0362015
1195381255305106, 6.0729837, 0.47976094, 8.05783, -0.25936842, 0.06397295, 10.097949
1195381264944168, 6.053841, -0.18305093, 7.987242, 0.38788962, -0.09560108, 10.015936
1195381274583335, 6.0753765, 0.8063812, 8.042277, -0.5616491, 0.178545, 10.094125
1195381284222502, 5.9246287, -0.50129634, 7.8556366, 0.67078745, -0.21878624, 9.826786
1195381293861564, 6.1938214, 0.9236295, 8.215756, -0.6672463, 0.21021175, 10.306588
1195381303500731, 5.8504515, -0.42592242, 7.763513, 0.6011535, -0.21169424, 9.7095375
1195381313139793, 6.2344995, 0.72741807, 8.239685, -0.47768092, 0.1875472, 10.345394
1195381322778960, 5.892326, -0.06460621, 7.739585, 0.27354383, -0.048448086, 9.723562
1195381332418022, 6.1974106, 0.2883351, 8.140383, -0.047965765, 0.066735744, 10.234751
1195381342057189, 5.9545393, 0.40917268, 7.8580294, -0.18538034, 0.080590725, 9.865685
1195381351696356, 6.0777693, -0.22013968, 8.020741, 0.4207114, -0.1171751, 10.056307
1195381361335418, 6.094519, 0.80997044, 8.084151, -0.57823896, 0.1606369, 10.138666
1195381370974585, 5.9449677, -0.5096712, 7.9094753, 0.6752125, -0.23425245, 9.881873
1195381380613647, 6.1854467, 0.90448695, 8.221739, -0.6718838, 0.16842604, 10.305099
1195381390252814, 5.8480587, -0.49172506, 7.783852, 0.678185, -0.18790245, 9.722896
1195381399891981, 6.2309103, 0.7501499, 8.2456665, -0.50394875, 0.14759588, 10.349021
1195381409531043, 5.85763, -0.11365908, 7.7551384, 0.31255364, -0.079591274, 9.714055
1195381419170210, 6.195018, 0.33260235, 8.152347, -0.105128646, 0.06331015, 10.243757
1195381428809272, 5.948557, 0.37088752, 7.832905, -0.15146792, 0.0708251, 9.841206
1195381438448439, 6.0861444, -0.16510476, 8.031509, 0.3745073, -0.07166481, 10.071156
1195381448087502, 6.0717874, 0.80997044, 8.043473, -0.57984734, 0.15842342, 10.092512
1195381457726668, 5.942575, -0.47258246, 7.893922, 0.65084124, -0.18705606, 9.868787
1195381467365835, 6.1710896, 0.94636136, 8.176275, -0.69404554, 0.20460367, 10.261865
1195381477004897, 5.858826, -0.47976094, 7.773084, 0.65091693, -0.19648361, 9.72186
1195381486644064, 6.242874, 0.79441714, 8.262417, -0.5440172, 0.16452456, 10.370588
1195381496283127, 5.8839507, -0.18185452, 7.7682986, 0.3733375, -0.089942455, 9.739249
1195381505922293, 6.2009997, 0.3481557, 8.200203, -0.1231184, 0.04729891, 10.285891
1195381515561356, 5.9234324, 0.317049, 7.8257265, -0.09944832, 0.045734882, 9.819246
1195381525200522, 6.0897336, -0.10049855, 8.021938, 0.30874467, -0.06580305, 10.067116
1195381534839585, 6.064609, 0.78364944, 8.015956, -0.5460696, 0.17746735, 10.065757
1195381544478752, 5.9724855, -0.44147578, 7.8927255, 0.6311532, -0.18260288, 9.885792
1195381554117918, 6.1770716, 0.9846465, 8.2014, -0.74280053, 0.21275854, 10.285508
1195381563756981, 5.8731833, -0.4761717, 7.7742805, 0.66251945, -0.1909852, 9.730625
1195381573396147, 6.2321067, 0.84347, 8.252846, -0.6025133, 0.17945004, 10.3568735
