,device_acc_x,device_acc_y,device_acc_z,earth_acc_x,earth_acc_y,earth_acc_z
97270925526269, 8.329415, 0.12083755, 5.5453663, -0.2529801, 0.01645565, 10.004028
97270935164915, 8.458628, -0.32662028, 5.5046883, 0.20539463, 0.038568974, 10.095198
97270944803561, 8.206185, -0.08015956, 5.3623157, -0.041171312, 0.05790472, 9.802923
97270954442207, 8.519645, 0.08853444, 5.535795, -0.20664078, 0.11666298, 10.157802
97270964080853, 8.159525, -0.5024927, 5.1421757, 0.40303844, 0.13733196, 9.648369
97270973719498, 8.53161, 0.4749753, 5.629115, -0.5958817, 0.11801052, 10.214298
97270983358144, 8.177471, -0.80997044, 5.2223353, 0.70414925, 0.012911797, 9.711019
97270992996790, 8.419147, 0.57906306, 5.6530433, -0.7076442, 0.055539608, 10.132642
97271002635436, 8.32463, -0.7704889, 5.265406, 0.6633599, 0.039978027, 9.857788
97271012274082, 8.346166, 0.36490545, 5.51426, -0.47833258, 0.095229626, 9.99804
97271021912728, 8.469396, -0.47736812, 5.4867425, 0.36058784, 0.012491703, 10.096172
97271031551373, 8.257631, -0.058624156, 5.493921, -0.07227206, -0.021810055, 9.918133
97271041190019, 8.584251, 0.03589234, 5.7607207, -0.18410629, -0.036201954, 10.33641
97271050828665, 8.189436, -0.55393845, 5.436493, 0.4125713, -0.10579729, 9.836044
97271060467311, 8.577073, 0.424726, 5.898308, -0.59091353, -0.07420063, 10.401054
97271070105957, 8.23131, -0.80757767, 5.428118, 0.6630042, -0.13238859, 9.869853
97271079744603, 8.504091, 0.59700924, 5.852844, -0.74669415, -0.04895544, 10.313671
97271089383248, 8.360522, -0.77766734, 5.355137, 0.66140985, 0.0044026375, 9.936956
97271099021894, 8.380861, 0.4354937, 5.572884, -0.5602496, 0.082154274, 10.058077
97271108660540, 8.467003, -0.40917268, 5.447261, 0.29788, 0.05893135, 10.071644
97271118299186, 8.23131, 0.05503492, 5.428118, -0.1693995, 0.03772974, 9.858592
97271127937832, 8.530413, 0.058624156, 5.595616, -0.17747998, 0.061408997, 10.200344
97271137576478, 8.147561, -0.45104706, 5.2283173, 0.35169256, 0.037186623, 9.684855
97271147215123, 8.544769, 0.45702913, 5.6745787, -0.57515377, 0.09152031, 10.25103
97271156853769, 8.185846, -0.7716853, 5.2486563, 0.6660291, -0.029990673, 9.731776
97271166492415, 8.483752, 0.6041877, 5.7080784, -0.7419864, 0.060983658, 10.216017
97271176131061, 8.311469, -0.8219346, 5.24746, 0.7302546, 0.026925564, 9.836561
97271185769707, 8.355737, 0.4235296, 5.511867, -0.5278245, 0.11898899, 10.004281
97271195408353, 8.435896, -0.5491528, 5.369494, 0.44331324, 0.054202557, 10.004895
97271205046998, 8.252846, 0.015553347, 5.4293146, -0.13037896, 0.03137636, 9.877711
97271214685644, 8.530413, -0.059820566, 5.615955, -0.06704438, 0.014289856, 10.21302
97271224324290, 8.1679, -0.46061835, 5.304888, 0.3445816, -0.01247406, 9.744214
97271233962936, 8.581859, 0.36490545, 5.761917, -0.5018937, 0.018188477, 10.330969
97271243601582, 8.2348995, -0.82672024, 5.3587265, 0.7021812, -0.09825134, 9.834139
97271253240228, 8.518449, 0.5312066, 5.8827543, -0.7026451, -0.070552826, 10.34187
97271262878873, 8.304291, -0.8781659, 5.4053864, 0.75498337, -0.093882084, 9.918257
97271272517519, 8.373683, 0.38524446, 5.649454, -0.5180752, 0.011157036, 10.095285
97271282156165, 8.427522, -0.60777694, 5.474778, 0.4878962, -0.038348675, 10.056152
97271291794811, 8.254042, 0.07178468, 5.505885, -0.20024902, -0.008155823, 9.92013
97271301433457, 8.55793, -0.08135597, 5.6530433, -0.04985404, -4.9114227E-5, 10.256666
97271311072103, 8.2014, -0.39960137, 5.322834, 0.28402138, 0.004509926, 9.781336
97271320710748, 8.617751, 0.38763726, 5.7248282, -0.5194739, 0.06957817, 10.339964
97271330349394, 8.200203, -0.7118647, 5.304888, 0.58807033, -0.045481205, 9.774661
97271339988040, 8.476574, 0.6221339, 5.7403817, -0.75700986, 0.023197174, 10.228281
97271349626686, 8.293523, -0.80997044, 5.2498527, 0.7027586, 0.033411503, 9.823673
97271359265332, 8.391629, 0.5419743, 5.5190454, -0.6567989, 0.13786411, 10.036068
97271368903978, 8.411968, -0.5347959, 5.2833524, 0.4404341, 0.11749697, 9.937467
97271378542623, 8.249256, 0.19142582, 5.3623157, -0.29138285, 0.10999584, 9.835869
97271388181269, 8.49452, -0.040677983, 5.48076, -0.06545186, 0.0952549, 10.108606
97271397819915, 8.135597, -0.28115666, 5.2223353, 0.18130475, 0.06178999, 9.6697
97271407458561, 8.529217, 0.36729828, 5.615955, -0.48569405, 0.09668827, 10.206673
97271417097207, 8.163115, -0.74177504, 5.2331033, 0.6376933, -0.01879549, 9.703867
97271426735853, 8.5423765, 0.5276174, 5.7894344, -0.66411597, -0.025187016, 10.311472
97271436374498, 8.321041, -0.89491564, 5.326423, 0.78949845, -0.009019375, 9.888782
97271446013144, 8.444271, 0.46181476, 5.6554365, -0.58594394, 0.013502598, 10.156743
97271455651790, 8.419147, -0.6759724, 5.4257255, 0.5550457, -0.0028305054, 10.023442
97271465290332, 8.281559, 0.14596218, 5.572884, -0.2773013, -0.055788517, 9.979107
97271474928978, 8.517252, -0.19142582, 5.676972, 0.050052226, -0.067913055, 10.237243
97271484567623, 8.178668, -0.35653058, 5.432904, 0.22651994, -0.07698202, 9.822268
97271494206269, 8.577073, 0.2440679, 5.782256, -0.3878476, -0.030409336, 10.339675
97271503844915, 8.208578, -0.7728817, 5.3515477, 0.64476943, -0.09042072, 9.8078165
97271513483561, 8.517252, 0.5300102, 5.8504515, -0.67829525, -0.051587105, 10.324221
97271523122207, 8.252846, -0.86979103, 5.380262, 0.7337593, -0.12225866, 9.862042
97271532760853, 8.446664, 0.5276174, 5.6709895, -0.64963186, 0.0625844, 10.166548
97271542399498, 8.396415, -0.634098, 5.359923, 0.5252049, 0.0275774, 9.96765
97271552038144, 8.271988, 0.25603202, 5.4843497, -0.37054354, 0.05917263, 9.921121
97271561676790, 8.49811, -0.16749759, 5.5501523, 0.052581906, 0.03323555, 10.15117
97271571315436, 8.163115, -0.20219351, 5.3312087, 0.09076947, 0.024091244, 9.751426
