-0.23330021, 3.5521452, 9.314062, 0.070417166, 0.027342156, 9.970867
774742384495544, -0.25244278, 3.5988052, 9.230313, -5.457401E-4, 0.0025345683, 9.910288
774742394136065, -0.2548356, 3.6131623, 9.209974, -0.019945383, -8.094907E-4, 9.896621
774742403776585, -0.29910284, 3.609573, 9.176475, -0.028730392, -0.04588014, 9.8652525
774742413417106, -0.2727818, 3.641876, 9.162118, -0.063137054, -0.018948182, 9.862948
774742423057627, -0.25124636, 3.6777685, 9.1681, -0.093752384, 0.0046705753, 9.88101
774742432698148, -0.2548356, 3.6777685, 9.182457, -0.08783388, 0.0029479414, 9.894479
774742442338773, -0.22851457, 3.674179, 9.215957, -0.07079196, 0.02962482, 9.9237
774742451979294, -0.22971097, 3.6598222, 9.233903, -0.050281525, 0.027447596, 9.935227
774742461619815, -0.25124636, 3.6693935, 9.260223, -0.0491457, 0.006486401, 9.9637785
774742471260335, -0.17706887, 3.6789649, 9.3308115, -0.031930685, 0.08134112, 10.031078
774742480900856, -0.062213387, 3.6789649, 9.391829, -0.01037693, 0.19497994, 10.084988
774742490541377, -0.046660043, 3.6406796, 9.340384, 0.003222704, 0.20894733, 10.022764
774742500181898, -0.22372891, 3.5892339, 9.238688, 0.015399218, 0.027105778, 9.913881
774742509822523, -0.44745782, 3.5294135, 9.113065, 0.029785156, -0.1975188, 9.780851
774742519463044, -0.5515456, 3.4779677, 9.1681, 0.09761882, -0.29616466, 9.8161745
774742529103565, -0.53599226, 3.4528432, 9.285348, 0.16313028, -0.27634498, 9.915852
774742538744085, -0.47976094, 3.4360933, 9.424132, 0.22199869, -0.21487522, 10.037716
774742548384606, -0.3900301, 3.5066817, 9.48156, 0.16896772, -0.124406755, 10.114589
774742558025127, -0.27996024, 3.65384, 9.470792, 0.02067542, -0.01412043, 10.155008
774742567665648, -0.17587246, 3.7507496, 9.515059, -0.057717085, 0.092623055, 10.228564
774742577306273, -0.059820566, 3.8380876, 9.473185, -0.15301085, 0.20941609, 10.218045
774742586946794, 0.06460621, 3.8907297, 9.409775, -0.22149563, 0.33207217, 10.174796
774742596587315, 0.11485548, 3.830909, 9.237492, -0.22162485, 0.37483317, 9.99153
774742606227835, 0.0634098, 3.7459638, 8.970692, -0.23204517, 0.31183964, 9.71383
774742615868356, -0.09810573, 3.615555, 8.773284, -0.17472506, 0.14065003, 9.48694
774742625508877, -0.32303107, 3.4743786, 8.707481, -0.055765867, -0.086936355, 9.380043
774742635149398, -0.485743, 3.3966117, 8.874979, 0.07659602, -0.2430113, 9.511743
774742644790023, -0.5802595, 3.3786657, 9.183653, 0.19831538, -0.32714427, 9.795162
774742654430544, -0.5982057, 3.406183, 9.531809, 0.3013699, -0.33355114, 10.12982
774742664071065, -0.5072784, 3.4695928, 9.749556, 0.30577946, -0.23947819, 10.353665
774742673711585, -0.30867413, 3.656233, 9.827323, 0.14196897, -0.03548564, 10.488956
774742683352106, -0.23090738, 3.6382868, 9.875179, 0.1758995, 0.04286018, 10.525057
774742692992627, -0.14237295, 3.804588, 9.701699, -0.04262781, 0.13132265, 10.421085
774742702633148, -0.031106694, 3.8165522, 9.533006, -0.11585641, 0.23795313, 10.265242
774742712273773, -0.03589234, 3.7615173, 9.30808, -0.1408608, 0.2281973, 10.0358715
774742721914294, -0.11485548, 3.6837504, 9.050852, -0.15181208, 0.14225549, 9.770252
774742731554815, -0.24526432, 3.5772698, 8.800801, -0.13242102, 0.004364237, 9.502294
774742741195335, -0.35413775, 3.507878, 8.6345005, -0.11157966, -0.1108768, 9.325261
774742750835856, -0.45224348, 3.481557, 8.676374, -0.069740534, -0.2077823, 9.357202
774742760476377, -0.4546363, 3.4971104, 8.920443, 0.0036375523, -0.20333517, 9.590069
774742770116898, -0.357727, 3.5808592, 9.290133, 0.0514884, -0.0958966, 9.96219
774742779757419, -0.24765715, 3.6610186, 9.580862, 0.08137798, 0.022191793, 10.259151
774742789398044, -0.15074782, 3.737589, 9.702896, 0.04143381, 0.12231693, 10.398166
774742799038565, -0.12203395, 3.7806597, 9.65145, -0.01768756, 0.1497535, 10.365135
774742808679085, -0.15314065, 3.7710886, 9.44806, -0.082463264, 0.113274276, 10.173041
774742818319606, -0.18783657, 3.7196429, 9.200403, -0.12120247, 0.0711837, 9.92465
774742827960127, -0.21415763, 3.629912, 9.0233345, -0.090232134, 0.041211396, 9.727943
774742837600648, -0.2620141, 3.5676985, 8.962317, -0.05364275, -0.008065283, 9.649732
774742847241169, -0.29192436, 3.501896, 8.999406, 0.024467707, -0.035740554, 9.661051
774742856881690, -0.30029923, 3.481557, 9.108279, 0.08346987, -0.040005714, 9.755183
774742866522210, -0.33140594, 3.5377884, 9.241081, 0.07262492, -0.06602794, 9.9001875
774742876162835, -0.34097722, 3.566502, 9.38824, 0.09953475, -0.07147825, 10.047897
774742885803356, -0.34217364, 3.6514473, 9.488738, 0.052513123, -0.068648115, 10.172457
774742895443877, -0.2955136, 3.696911, 9.497113, 0.007953167, -0.01758194, 10.195551
774742905084398, -0.2739782, 3.757928, 9.452846, -0.06417298, 0.0048765987, 10.175916
774742914724919, -0.2428715, 3.7471602, 9.383454, -0.07628751, 0.03500156, 10.106552
774742924365440, -0.27038896, 3.7136607, 9.254242, -0.08842373, 0.0048944205, 9.974846
774742934005960, -0.30149564, 3.6430724, 9.186047, -0.04422164, -0.028801352, 9.886533
774742943646481, -0.32542387, 3.6167514, 9.200403, -0.014349699, -0.052280515, 9.890969
774742953287106, -0.3182454, 3.5617166, 9.169296, 0.028028727, -0.04657206, 9.841755
774742962927627, -0.26919255, 3.522235, 9.158528, 0.060250282, 0.0019073486, 9.815987
774742972568148, -0.23569304, 3.5437703, 9.165708, 0.040577173, 0.033221483, 9.829615
774742982208669, -0.22731815, 3.5772698, 9.171689, 0.009722233, 0.039491758, 9.847169
774742991849190, -0.25603202, 3.6323047, 9.203992, -0.029682398, 0.01222606, 9.898061
774743001489710, -0.27517462, 3.6849468, 9.3104725, -0.04174447, -0.007485211, 10.01687
774743011130231, -0.24047868, 3.714857, 9.404989, -0.036544085, 0.027622357, 10.114827
774743020770752, -0.19740787, 3.7005002, 9.413364, -0.021740675, 0.068341985, 10.116271
774743030411273, -0.17826529, 3.6670008, 9.379865, -0.003266096, 0.08508909, 10.072403
774743040051794, -0.20817557, 3.6275191, 9.323633, 0.016044855, 0.052616805, 10.006464
774743049692419, -0.26679972, 3.6023946, 9.247063, 0.0154874325, -0.006908804, 9.927551
774743059332940, -0.2883351, 3.5653057, 9.169296, 0.023220062, -0.030224532, 9.842207
774743068973460, -0.32422748, 3.5712879, 9.09153, -0.005264044, -0.065935135, 9.772961
774743078613981, -0.36610186, 3.6023946, 9.032906, -0.051641703, -0.11318523, 9.730837
774743088254502, -0.28594232, 3.9397824, 9.062816, -0.35774374, -0.0701381, 9.879545
774743097895023, -0.4139583, 3.109473, 8.975478, 0.39614248, -0.10734427, 9.498998
774743107535544, -0.19142582, 4.3669014, 9.227921, -0.6997206, -0.022022545, 10.186802
774743117176065, -0.2644069, 3.0053852, 9.1669035, 0.53313136, 0.09192783, 9.63544
774743126816585, -0.16510476, 4.2006, 9.561719, -0.43386865, 0.037937462, 10.435952
