7.045666, -0.0011964113, 7.1007013, -0.010702848, 0.037721634, 10.002992
188050562782469, 7.0899334, 0.0071784677, 7.198807, -0.018936515, 0.011337757, 10.103937
188050572422677, 7.0600233, -0.0023928226, 7.1976104, -0.016316175, -0.00967598, 10.082121
188050582062885, 7.0504518, -0.033499517, 7.1772714, 0.015350223, -0.013326645, 10.060955
188050591703094, 7.0408807, -0.020338992, 7.207182, -0.01001668, -0.029407978, 10.075561
188050601343302, 7.0325055, -0.061016977, 7.1952176, 0.025120258, -0.04022026, 10.061251
188050610983510, 7.045666, -0.033499517, 7.183254, 0.0055606365, -0.010359287, 10.061886
188050620623719, 7.025327, -0.05623133, 7.173682, 0.023298264, -0.02664709, 10.040859
188050630263927, 7.0145597, -0.03589234, 7.164111, 0.0022602081, -0.02065134, 10.026435
188050639904135, 7.012167, -0.03589234, 7.149754, 0.005696416, -0.012971401, 10.014517
188050649544344, 7.0085773, -0.0741775, 7.1473613, 0.038006425, -0.034232616, 10.0103855
188050659184552, 7.0301127, -0.050249275, 7.1784678, 0.010961533, -0.032462597, 10.047598
188050668824760, 7.071987, -0.061016977, 7.1569324, 0.037966013, 0.0057144165, 10.061657
188050678464969, 7.0672016, -0.021535404, 7.170093, -0.007654667, 0.0065693855, 10.06757
188050688105177, 7.0528445, -0.025124637, 7.176075, -0.009045005, -0.0081448555, 10.061768
188050697745385, 7.058827, -0.02871387, 7.1617184, -0.0013673306, 0.0048832893, 10.055746
188050707385594, 7.048059, -0.032303106, 7.133004, 0.0062844753, 0.019974232, 10.027735
188050717025802, 7.0576305, -0.022731815, 7.1138616, 0.0035824776, 0.04445362, 10.020764
188050726666010, 7.031309, -0.069391854, 7.115058, 0.040569067, 0.012039661, 10.003319
188050736306114, 7.025327, -0.04546363, 7.1282187, 0.013577104, 0.007027149, 10.008425
188050745946323, 7.0325055, -0.041874398, 7.0779696, 0.021740198, 0.04995203, 9.977604
188050755586531, 7.0348988, -0.07537391, 7.085148, 0.052313924, 0.035559177, 9.984529
188050765226739, 7.042077, -0.049052864, 7.149754, 0.013090491, 0.0078783035, 10.035537
188050774866948, 7.058827, -0.04426722, 7.149754, 0.012551546, 0.0240345, 10.04725
188050784507156, 7.0528445, -0.031106694, 7.1449685, 0.0013210773, 0.028819084, 10.039589
188050794147364, 7.0432734, -0.0035892338, 7.1449685, -0.027010918, 0.031110764, 10.032775
188050803787573, 7.0372915, 0.0023928226, 7.1748786, -0.03929758, 0.009934902, 10.0499115
188050813427781, 7.076773, 0.013160525, 7.18445, -0.04199934, 0.03492403, 10.084356
188050823067989, 7.0636125, -0.010767702, 7.18445, -0.021325946, 0.022934437, 10.075221
188050832708198, 7.071987, -0.0059820567, 7.1772714, -0.023156643, 0.036658764, 10.075932
188050842348406, 7.070791, -0.02751746, 7.18445, -0.0039589405, 0.024689198, 10.080304
188050851988614, 7.045666, -0.020338992, 7.194021, -0.018363953, 0.0035409927, 10.069529
188050861628823, 7.0396843, -0.03589234, 7.1772714, -0.0013482571, 0.00137043, 10.05344
188050871269031, 7.0085773, -0.05503492, 7.198807, 0.0053937435, -0.040015697, 10.047108
188050880909239, 7.0061846, -0.058624156, 7.2023964, 0.0051054955, -0.04392433, 10.048016
188050890549448, 7.012167, -0.09212367, 7.164111, 0.045834184, -0.020998478, 10.025017
188050900189656, 7.007381, -0.09930214, 7.1342006, 0.058306694, -0.0072455406, 10.000332
188050909829864, 7.0085773, -0.104087785, 7.179664, 0.050308228, -0.035440445, 10.033682
188050919470073, 7.0061846, -0.08255238, 7.18445, 0.025959015, -0.033438683, 10.0353365
188050929110281, 7.0002027, -0.061016977, 7.1784678, 0.004302025, -0.028316498, 10.026772
188050938750489, 7.0133634, -0.062213387, 7.2287173, -0.0040700436, -0.055847168, 10.071859
188050948390698, 7.003792, -0.07776674, 7.2155566, 0.012502909, -0.057751656, 10.05584
188050958030906, 7.031309, -0.061016977, 7.1856465, 0.010812283, -0.013852119, 10.053667
188050967671114, 7.0337024, -0.078963146, 7.119844, 0.045060396, 0.031516075, 10.008415
188050977311323, 7.0229344, -0.06699903, 7.140183, 0.026210427, 0.015138626, 10.015357
188050986951531, 7.0301127, -0.07537391, 7.117451, 0.039155126, 0.032120228, 10.004186
188050996591739, 7.0097737, -0.05383851, 7.1078796, 0.014002562, 0.030228138, 9.98302
188051006231948, 7.02772, -0.021535404, 7.1389866, -0.02292645, 0.03009367, 10.017634
188051015872156, 7.0169525, -0.02751746, 7.1078796, -0.015174031, 0.038098335, 9.987926
188051025512260, 6.9583282, -0.04546363, 7.0959153, -0.008813024, 5.016327E-4, 9.938428
188051035152469, 6.96431, -0.07537391, 7.0863442, 0.024105072, -4.1341782E-4, 9.9359455
188051044792677, 6.9619174, -0.10289137, 6.9906316, 0.076735735, 0.05128002, 9.866068
188051054432885, 6.9344, -0.18424734, 6.923632, 0.16271532, 0.050715446, 9.799362
188051064073094, 6.954739, -0.18065812, 6.9702926, 0.15294766, 0.029895782, 9.846914
188051073713302, 6.9726853, -0.16390835, 6.9990063, 0.13397026, 0.028443336, 9.879906
188051083353510, 6.969096, -0.12921242, 7.0672016, 0.085617065, -0.004978657, 9.925875
188051092993719, 6.9858456, -0.06699903, 7.1473613, 0.017587304, -0.022179604, 9.994523
188051102633927, 6.9738817, -0.04426722, 7.160522, 3.7574768E-4, -0.02733183, 9.995464
188051112274135, 6.9678993, -0.011964113, 7.210771, -0.031397223, -0.05099106, 10.027132
188051121914344, 7.018149, 0.013160525, 7.2550383, -0.054130554, -0.03735161, 10.093852
188051131554552, 7.097112, 0.06580263, 7.372287, -0.10156059, -0.040678024, 10.232887
188051141194760, 7.131808, 0.08733802, 7.4584284, -0.114056945, -0.06728268, 10.318958
188051150834969, 7.1581287, 0.13399807, 7.5182486, -0.15799248, -0.070688725, 10.380312
188051160475177, 7.1545396, 0.17228323, 7.5254273, -0.18867695, -0.06349516, 10.383137
188051170115385, 7.1784678, 0.20219351, 7.475178, -0.19823825, -0.0020565987, 10.3638935
188051179755594, 7.183254, 0.19980069, 7.429714, -0.17732036, 0.03085804, 10.334764
188051189395802, 7.1808605, 0.16390835, 7.3663044, -0.12482166, 0.056738377, 10.287628
188051199036010, 7.119844, 0.14117654, 7.2646093, -0.09364855, 0.06890249, 10.172174
188051208676219, 7.0935225, 0.11365908, 7.1772714, -0.060874343, 0.08142853, 10.091277
188051218316323, 7.0815587, 0.07058827, 7.123433, -0.010431886, 0.09289217, 10.044302
188051227956531, 7.082755, 0.05503492, 7.0935225, 0.0046088696, 0.097473145, 10.023821
188051237596739, 7.088737, 0.049052864, 7.062416, 0.006195307, 0.10183239, 10.005994
188051247236948, 7.0432734, 0.010767702, 7.071987, 0.02797079, 0.05163002, 9.98085
188051256877156, 7.015756, -0.015553347, 7.07438, 0.04033351, 0.01785469, 9.963232
188051266517364, 7.0133634, 0.0011964113, 7.04447, 0.027986884, 0.042540073, 9.940283
188051276157573, 6.9619174, -0.13878371, 7.003792, 0.15255737, -0.0069327354, 9.875087
188051285797781, 6.9858456, -0.104087785, 7.075577, 0.10856283, -0.024792671, 9.943051
